date,sessions,conversion_rate
8/13/20,33981,.0122
8/14/20,32388,.0117
8/15/20,31655,.0131
8/16/20,33010,.0124
8/17/20,33707,.0099
8/18/20,31045,.0127
8/19/20,33500,.0108
8/20/20,31910,.0094
8/21/20,27535,.0121
8/22/20,28844,.0125
8/23/20,30031,.0115
8/24/20,30613,.0090
8/25/20,33437,.0205
8/26/20,34288,.0161
8/27/20,33913,.0157
8/28/20,31247,.0141
8/29/20,29551,.0118
8/30/20,30710,.0125
8/31/20,34274,.0086
9/1/20,55369,.0092
9/2/20,57427,.0072
9/3/20,56698,.0072
9/4/20,64283,.0055
9/5/20,80603,.0052
9/6/20,80673,.0059
9/7/20,73085,.0041
9/8/20,71622,.0035
9/9/20,71126,.0036
9/10/20,62832,.0041
9/11/20,60221,.0046
9/12/20,61773,.0040
9/13/20,57291,.0058
9/14/20,55732,.0059
9/15/20,46290,.0030
9/16/20,44410,.0037
9/17/20,53784,.0032
9/18/20,57732,.0030
9/19/20,62064,.0029
9/20/20,69033,.0026
9/21/20,70558,.0025
9/22/20,66030,.0028
9/23/20,65386,.0025
9/24/20,59880,.0033
9/25/20,71174,.0025
9/26/20,75349,.0021
9/27/20,78846,.0020
9/28/20,74201,.0018
9/29/20,74805,.0023
9/30/20,59213,.0039
10/1/20,98032,.0016
10/2/20,105638,.0016
10/3/20,98283,.0018
10/4/20,78276,.0091
10/5/20,69831,.0073
10/6/20,63907,.0086
10/7/20,58277,.0081
10/8/20,70964,.0071
10/9/20,76677,.0048
10/10/20,71062,.0053
10/11/20,66962,.0063
10/12/20,81526,.0046
10/13/20,68256,.0065
10/14/20,73878,.0057
10/15/20,79701,.0050
10/16/20,75047,.0047
10/17/20,70134,.0048
10/18/20,68399,.0047
10/19/20,78828,.0041
10/20/20,72235,.0055
10/21/20,85686,.0047
10/22/20,91162,.0038
10/23/20,91646,.0036
10/24/20,86984,.0046
10/25/20,83474,.0050
10/26/20,55187,.0059
10/27/20,71530,.0056
10/28/20,55331,.0066
10/29/20,79060,.0042
10/30/20,86213,.0035
10/31/20,100815,.0037
11/1/20,107062,.0041
11/2/20,94227,.0040
11/3/20,76560,.0044
11/4/20,89942,.0035
11/5/20,113411,.0035
11/6/20,102466,.0033
11/7/20,102915,.0033
11/8/20,97078,.0050
11/9/20,132347,.0112
11/10/20,103345,.0096
11/11/20,125827,.0060
11/12/20,115257,.0062
11/13/20,125961,.0051
11/14/20,111265,.0062
11/15/20,126608,.0076
11/16/20,135758,.0077
11/17/20,104317,.0076
11/18/20,82236,.0102
11/19/20,93546,.0089
11/20/20,130076,.0152
11/21/20,102439,.0044
11/22/20,101105,.0062
11/23/20,79312,.0021
11/24/20,110300,.0017
11/25/20,116108,.0015
11/26/20,97706,.0017
11/27/20,131135,.0047
11/28/20,125941,.0040
11/29/20,113716,.0054
11/30/20,125549,.0060
12/1/20,81952,.0034
12/2/20,77028,.0029
12/3/20,97392,.0023
12/4/20,105712,.0030
12/5/20,108292,.0035
12/6/20,89978,.0057
12/7/20,83045,.0034
